,industry,industry_default_rate
0,Administration,0.32
1,Agriculture,0.1896551724137931
2,Construction,0.4254545454545455
3,Consulting,0.3333333333333333
4,Education,0.20689655172413793
5,Energy,0.1111111111111111
6,Engineering,0.375
7,Entertainment,0.25806451612903225
8,Finance,0.34375
9,Healthcare,0.182648401826484
10,Hotel,0.3836734693877551
11,Manufacturing,0.23265306122448978
12,Others,0.3630952380952381
13,Real Estate,0.3409090909090909
14,Trading,0.3562992125984252
15,Transportation,0.25471698113207547
16,unknown,0.0
